TT,Lĩnh vực,Câu hỏi,Loại,Các đáp án lựa chọn (Điểm - Rủi ro),Các khuyến nghị xử lý
26,"Sơ suất, bất cẩn dùng lửa/nhiệt","Việc sử dụng và bảo quản bếp gas, bình gas (LPG) tại cơ sở/gia đình được thực hiện như thế nào?",single,"A) Bếp gas đặt phòng riêng thông thoáng, dây dẫn gas mới, có van ngắt tự động và đầu dò gas [Điểm: 0, Rủi ro: safe]
B) Bếp gas đặt đúng nơi, dây dẫn chưa quá 2 năm, luôn khóa van bình sau khi nấu xong [Điểm: 1, Rủi ro: low]
C) Bình gas đặt gần nguồn nhiệt, dây dẫn cũ trên 3 năm, đôi khi quên khóa van bình [Điểm: 2, Rủi ro: high]
D) Dùng bếp gas trong phòng ngủ hoặc kho hàng, dây gas nứt vá bằng băng keo, bình gas kẹt tủ kín [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m.
- Nếu chọn (D): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m."
27,"Sơ suất, bất cẩn dùng lửa/nhiệt","Cơ sở/gia đình có tổ chức nướng than hoa ngoài trời, lửa trại hoặc các hoạt động có dùng lửa ngoài trời không?",single,"A) Không có hoạt động dùng lửa ngoài trời tại khuôn viên cơ sở [Điểm: 0, Rủi ro: safe]
B) Có nướng/lửa trại nhưng tại khu vực được chỉ định, nền bê tông, cách xa cây cối, có nước dập [Điểm: 1, Rủi ro: low]
C) Nướng than hoa trên ban công, sân thượng hoặc gần hàng rào, mái hiên dễ cháy [Điểm: 2, Rủi ro: high]
D) Đốt lửa ngoài trời gần kho hàng, bãi xe hoặc khu vực có cỏ khô, không kiểm soát tàn lửa [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Nướng than hoa trên ban công, sân thượng hoặc gần hàng rào, mái hiên dễ cháy. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi."
28,"Sơ suất, bất cẩn dùng lửa/nhiệt","Tại cơ sở có sử dụng máy hàn hơi, máy cắt kim loại, máy khò gas hoặc đèn khò không? Quy trình an toàn khi thực hiện các công việc phát sinh tia lửa được thực hiện như thế nào?",single,"A) Không có hoạt động hàn cắt; hoặc có giấy phép hàn cắt, dọn sạch 10m, bạt chắn tia lửa, bình chữa cháy [Điểm: 0, Rủi ro: safe]
B) Có hàn cắt tại khu vực riêng, có bình chữa cháy nhưng chưa có giấy phép chính thức [Điểm: 1, Rủi ro: low]
C) Hàn cắt ngay trong khu vực sản xuất, chưa dọn vật liệu dễ cháy, không có bạt chắn [Điểm: 2, Rủi ro: high]
D) Hàn cắt cạnh vật liệu dễ cháy, không bình chữa cháy, không giám sát, tia lửa bắn tự do [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lập phiếu xin phép hàn cắt. Dọn sạch vật liệu dễ cháy 10m xung quanh. Bố trí 1 bình chữa cháy + 1 người giám sát.
- Nếu chọn (D): Lập phiếu xin phép hàn cắt. Dọn sạch vật liệu dễ cháy 10m xung quanh. Bố trí 1 bình chữa cháy + 1 người giám sát."
29,"Sơ suất, bất cẩn dùng lửa/nhiệt","Tại cơ sở/gia đình có tự bảo quản xăng dầu, cồn, dung môi dễ cháy không? Cách bảo quản như thế nào?",single,"A) Không lưu trữ xăng dầu/dung môi dễ cháy; hoặc bảo quản trong tủ chuyên dụng chống cháy [Điểm: 0, Rủi ro: safe]
B) Có lưu trữ lượng nhỏ trong can kim loại có nắp kín, để nơi thông thoáng xa nguồn nhiệt [Điểm: 1, Rủi ro: low]
C) Để can xăng/dung môi trong nhà kho chung, gần thiết bị điện hoặc ổ cắm [Điểm: 2, Rủi ro: high]
D) Để xăng dầu trong chai nhựa hở miệng, trong phòng ngủ hoặc gần bếp nấu ăn [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bảo quản xăng dầu trong kho riêng, xa nguồn nhiệt/điện. Dùng can chuyên dụng có nắp kín, gắn nhãn cảnh báo.
- Nếu chọn (D): Bảo quản xăng dầu trong kho riêng, xa nguồn nhiệt/điện. Dùng can chuyên dụng có nắp kín, gắn nhãn cảnh báo."
30,"Sơ suất, bất cẩn dùng lửa/nhiệt","Tại cơ sở/gia đình có sử dụng pháo hoa, pháo nổ, pháo sáng hoặc các vật liệu gây cháy nổ tương tự trong các dịp lễ, tết không?",single,"A) Không sử dụng pháo hoa/pháo nổ; hoặc chỉ xem pháo hoa do đơn vị có giấy phép tổ chức tại nơi công cộng [Điểm: 0, Rủi ro: safe]
B) Có sử dụng pháo hoa loại nhỏ cho phép, đốt ngoài trời sân rộng, xa nhà cửa và cây cối [Điểm: 1, Rủi ro: low]
C) Đốt pháo hoa gần nhà, gần mái hiên hoặc ban công, tàn pháo rơi lên mái tôn nhựa/bạt [Điểm: 2, Rủi ro: high]
D) Tự chế hoặc tích trữ pháo nổ trái phép trong nhà, bảo quản không đúng quy định [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi.
- Nếu chọn (D): Khắc phục: Tự chế hoặc tích trữ pháo nổ trái phép trong nhà, bảo quản không đúng quy định. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
31,Vi phạm quy định PCCC,"Cơ sở có đầy đủ hồ sơ pháp lý PCCC bắt buộc (thẩm duyệt thiết kế PCCC, nghiệm thu PCCC, giấy chứng nhận PCCC) không?",single,"A) Có đầy đủ: thẩm duyệt thiết kế, biên bản nghiệm thu, giấy chứng nhận PCCC còn hiệu lực [Điểm: 0, Rủi ro: safe]
B) Có thẩm duyệt và nghiệm thu nhưng chưa cập nhật sau lần cải tạo/mở rộng gần nhất [Điểm: 1, Rủi ro: low]
C) Chỉ có giấy phép kinh doanh, chưa hoàn thành thủ tục thẩm duyệt và nghiệm thu PCCC [Điểm: 2, Rủi ro: high]
D) Không có bất kỳ hồ sơ pháp lý PCCC nào, cơ sở hoạt động không phép về PCCC [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chỉ có giấy phép kinh doanh, chưa hoàn thành thủ tục thẩm duyệt và nghiệm thu PCCC. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Không có bất kỳ hồ sơ pháp lý PCCC nào, cơ sở hoạt động không phép về PCCC. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
32,Vi phạm quy định PCCC,Lối thoát hiểm và đường thoát nạn tại cơ sở có đáp ứng yêu cầu không?,single,"A) Có ≥ 2 lối thoát nạn độc lập, thông thoáng, đúng chiều rộng quy định, đèn chỉ dẫn EXIT hoạt động [Điểm: 0, Rủi ro: safe]
B) Có lối thoát nạn đủ nhưng một số đèn chỉ dẫn đã hỏng, chưa thay thế [Điểm: 1, Rủi ro: low]
C) Lối thoát nạn bị thu hẹp do hàng hóa, đồ đạc, xe máy chiếm chỗ, vẫn đi qua được [Điểm: 2, Rủi ro: high]
D) Lối thoát nạn bị chặn hoàn toàn hoặc cửa thoát nạn bị khóa cứng từ bên ngoài [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn.
- Nếu chọn (D): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn."
33,Vi phạm quy định PCCC,"Hệ thống báo cháy tự động tại cơ sở có được lắp đặt, duy trì và kiểm tra theo quy định không?",single,"A) Có hệ thống báo cháy tự động đầy đủ (đầu báo khói/nhiệt, trung tâm, chuông), kiểm tra định kỳ 6 tháng [Điểm: 0, Rủi ro: safe]
B) Có hệ thống báo cháy nhưng một số đầu báo đã lâu không kiểm tra, không rõ hoạt động [Điểm: 1, Rủi ro: low]
C) Hệ thống báo cháy đã lắp nhưng bị tắt do báo giả thường xuyên, chưa sửa chữa [Điểm: 2, Rủi ro: high]
D) Không có hệ thống báo cháy tự động nào, chỉ dựa vào quan sát con người [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Hệ thống báo cháy đã lắp nhưng bị tắt do báo giả thường xuyên, chưa sửa chữa. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Không có hệ thống báo cháy tự động nào, chỉ dựa vào quan sát con người. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
34,Vi phạm quy định PCCC,"Hệ thống chữa cháy tự động (Sprinkler, chữa cháy khí) tại cơ sở có hoạt động đúng không?",single,"A) Có sprinkler/chữa cháy khí đúng thiết kế, kiểm tra áp lực và thử nghiệm định kỳ, có biên bản [Điểm: 0, Rủi ro: safe]
B) Có hệ thống sprinkler nhưng chưa thử nghiệm phun thực tế, chỉ kiểm tra áp lực đồng hồ [Điểm: 1, Rủi ro: low]
C) Hệ thống sprinkler lắp đặt lâu, nhiều đầu phun bị che khuất bởi hàng hóa xếp cao [Điểm: 2, Rủi ro: high]
D) Không có hệ thống chữa cháy tự động, hoặc hệ thống đã hỏng không sửa chữa [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Hệ thống sprinkler lắp đặt lâu, nhiều đầu phun bị che khuất bởi hàng hóa xếp cao. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Không có hệ thống chữa cháy tự động, hoặc hệ thống đã hỏng không sửa chữa. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
35,Vi phạm quy định PCCC,"Phương tiện chữa cháy ban đầu (bình chữa cháy, hộp cứu hỏa, vòi chữa cháy vách tường) tại cơ sở có đầy đủ và sẵn sàng sử dụng không?",single,"A) Đủ số lượng theo quy định (1 bình/50m²), còn hạn, đặt đúng vị trí, dễ lấy, có bảng hướng dẫn [Điểm: 0, Rủi ro: safe]
B) Có bình chữa cháy nhưng số lượng chưa đủ hoặc một số bình gần hết hạn [Điểm: 1, Rủi ro: low]
C) Bình chữa cháy để trong kho, bị hàng hóa che khuất, khó lấy khi cần [Điểm: 2, Rủi ro: high]
D) Không có bình chữa cháy hoặc toàn bộ bình đã hết hạn, hỏng van, không sử dụng được [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Mua bổ sung bình chữa cháy ABC 4kg: 1 bình/50m². Đặt nơi dễ lấy, cao 0.8-1.5m. Kiểm tra hạn sử dụng hàng quý.
- Nếu chọn (D): Mua bổ sung bình chữa cháy ABC 4kg: 1 bình/50m². Đặt nơi dễ lấy, cao 0.8-1.5m. Kiểm tra hạn sử dụng hàng quý."
36,Vi phạm quy định PCCC,"Cơ sở có thành lập Đội PCCC cơ sở và xây dựng Phương án chữa cháy, thoát nạn không?",single,"A) Có đội PCCC cơ sở được huấn luyện, có phương án chữa cháy được phê duyệt, diễn tập định kỳ [Điểm: 0, Rủi ro: safe]
B) Có đội PCCC trên giấy tờ, có phương án nhưng chưa tổ chức diễn tập thực tế [Điểm: 1, Rủi ro: low]
C) Chưa thành lập đội PCCC, chỉ có phương án chữa cháy sơ sài để đối phó kiểm tra [Điểm: 2, Rủi ro: high]
D) Không có đội PCCC, không có phương án chữa cháy, chưa từng diễn tập [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi.
- Nếu chọn (D): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi."
37,Vi phạm quy định PCCC,"Việc quản lý và sắp xếp hàng hóa, vật tư trong kho có tuân thủ quy định về an toàn PCCC không?",single,"A) Hàng hóa phân loại theo mức độ cháy, cách tường ≥ 0.5m, cách sprinkler ≥ 0.45m, lối đi thông thoáng [Điểm: 0, Rủi ro: safe]
B) Hàng xếp gọn gàng, có lối đi nhưng chưa phân loại theo mức độ nguy hiểm cháy [Điểm: 1, Rủi ro: low]
C) Hàng hóa xếp chật, lối đi thu hẹp, hàng dễ cháy để lẫn với hàng thông thường [Điểm: 2, Rủi ro: high]
D) Hàng hóa chất đống tràn lan, không lối đi, che khuất tủ điện và đầu phun sprinkler [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Hàng hóa xếp chật, lối đi thu hẹp, hàng dễ cháy để lẫn với hàng thông thường. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'."
38,Vi phạm quy định PCCC,"Các thiết bị điện, tủ điện, đầu phun sprinkler có đang bị che khuất hoặc bị hàng hóa, vật dụng chất gần ép sát không?",single,"A) Toàn bộ tủ điện, thiết bị điện và đầu phun sprinkler đều tiếp cận dễ dàng, không bị che khuất [Điểm: 0, Rủi ro: safe]
B) Phần lớn thông thoáng, nhưng 1-2 vị trí tủ điện có đồ đạc gần sát [Điểm: 1, Rủi ro: low]
C) Nhiều tủ điện bị hàng hóa che trước, đầu phun sprinkler bị kệ hàng che mất [Điểm: 2, Rủi ro: high]
D) Tủ điện và đầu phun sprinkler bị chôn vùi trong hàng hóa, không thể tiếp cận được [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'.
- Nếu chọn (D): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'."
39,Vi phạm quy định PCCC,"Nguồn nước chữa cháy (bể nước, máy bơm, họng tiếp nước) có đủ áp lực và lưu lượng sẵn sàng không?",single,"A) Có bể nước PCCC riêng đúng dung tích, máy bơm chữa cháy hoạt động, kiểm tra áp lực định kỳ [Điểm: 0, Rủi ro: safe]
B) Có bể nước chung (sinh hoạt + PCCC), máy bơm có nhưng chưa thử áp lực vòi gần đây [Điểm: 1, Rủi ro: low]
C) Bể nước nhỏ không đủ dung tích theo quy định, máy bơm cũ lâu không kiểm tra [Điểm: 2, Rủi ro: high]
D) Không có nguồn nước chữa cháy riêng, không có máy bơm, trụ nước cứu hỏa xa cơ sở [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Bể nước nhỏ không đủ dung tích theo quy định, máy bơm cũ lâu không kiểm tra. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Không có nguồn nước chữa cháy riêng, không có máy bơm, trụ nước cứu hỏa xa cơ sở. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
40,Vi phạm quy định PCCC,"Sơ đồ thoát nạn, biển chỉ dẫn PCCC và nội quy an toàn có được dán đúng vị trí và còn đọc được không?",single,"A) Sơ đồ thoát nạn dán mỗi tầng, biển PCCC đầy đủ, nội quy cập nhật, chữ rõ ràng, đúng vị trí [Điểm: 0, Rủi ro: safe]
B) Có sơ đồ và biển chỉ dẫn nhưng một số đã cũ, chữ mờ, chưa cập nhật thay đổi mặt bằng [Điểm: 1, Rủi ro: low]
C) Chỉ có nội quy PCCC ở sảnh, không có sơ đồ thoát nạn tại các tầng/khu vực [Điểm: 2, Rủi ro: high]
D) Không có sơ đồ, không có biển chỉ dẫn, không có nội quy PCCC niêm yết [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Ban hành nội quy PCCC bằng văn bản. Niêm yết tại: cửa ra vào, khu vực nguy hiểm, bảng tin. Cập nhật hàng năm.
- Nếu chọn (D): Ban hành nội quy PCCC bằng văn bản. Niêm yết tại: cửa ra vào, khu vực nguy hiểm, bảng tin. Cập nhật hàng năm."
